program_id,ts_minute,batches_created,pieces_processed,weight_processed_g
7,2025-06-11T09:27:00Z,3,55,15800
7,2025-06-11T09:28:00Z,4,65,18733
7,2025-06-11T09:29:00Z,2,62,17619
7,2025-06-11T09:30:00Z,5,62,17850
7,2025-06-11T09:31:00Z,2,56,16193
7,2025-06-11T09:32:00Z,5,74,21440
7,2025-06-11T09:33:00Z,4,78,22485
7,2025-06-11T09:34:00Z,5,90,22463
7,2025-06-11T09:35:00Z,3,59,15518
7,2025-06-11T09:36:00Z,5,98,25683
7,2025-06-11T09:37:00Z,4,92,24442
7,2025-06-11T09:38:00Z,5,97,25724
7,2025-06-11T09:39:00Z,5,102,25528
7,2025-06-11T09:40:00Z,6,97,25027
7,2025-06-11T09:41:00Z,5,73,19341
7,2025-06-11T09:42:00Z,3,52,14326
7,2025-06-11T09:43:00Z,2,46,12738
7,2025-06-11T09:44:00Z,4,80,22354
7,2025-06-11T09:45:00Z,5,74,19806
7,2025-06-11T09:46:00Z,4,92,24009
7,2025-06-11T09:47:00Z,4,98,25303
7,2025-06-11T09:48:00Z,6,94,24817
7,2025-06-11T09:49:00Z,5,93,25095
7,2025-06-11T09:50:00Z,5,102,26960
7,2025-06-11T09:51:00Z,6,111,27927
7,2025-06-11T09:52:00Z,4,98,24473
7,2025-06-11T09:53:00Z,4,102,24947
7,2025-06-11T09:54:00Z,6,91,21570
7,2025-06-11T09:55:00Z,5,101,23300
7,2025-06-11T09:56:00Z,3,98,23488
7,2025-06-11T09:57:00Z,7,112,26404
7,2025-06-11T09:58:00Z,5,97,23688
7,2025-06-11T09:59:00Z,5,107,25504
7,2025-06-11T10:00:00Z,4,107,26274
